Anio,GrupoEdad,Total_Poblacion,Total_Hombres,Total_Mujeres
2020,0 a 4 años,20094730,10154964,9939766
2020,05 a 9 años,21528758,10906182,10622576
2020,10 a 14 años,21887080,11108520,10778560
2020,15 a 19 años,21613380,10924300,10689080
2020,20 a 24 años,20844190,10331768,10512422
2020,25 a 29 años,19986002,9722808,10263194
2020,30 a 34 años,18841654,9055452,9786202
2020,35 a 39 años,18040552,8663060,9377492
2020,40 a 44 años,17007172,8124608,8882564
2020,45 a 49 años,15884826,7624688,8260138
2020,50 a 54 años,14075064,6664326,7410738
2020,55 a 59 años,11391916,5385952,6005964
2020,60 a 64 años,9642124,4515724,5126400
2020,65 a 69 años,7290154,3413700,3876454
2020,70 a 74 años,5294680,2466984,2827696
2020,75 años y más,8058994,3611356,4447638
2020,No especificado,546772,272388,274384
